Forward passes per 90,Received passes per 90,"Accurate forward passes, %",Passes to penalty area per 90,"Offensive duels won, %",Passes to final third per 90,"Accurate short / medium passes, %",Key passes per 90,"Average pass length, m","Accurate passes, %","Accurate passes to final third, %",Passes per 90,Second assists per 90,Short / medium passes per 90,Shot assists per 90,Third assists per 90,"Duels won, %",Touches in box per 90,Successful attacking actions per 90,Non-penalty goals,Assists,Duels per 90
10.34,26.9,80.0,4.14,41.67,2.07,76.19,0.0,16.59,61.54,100.0,26.9,0.0,21.72,0.0,0.0,47.62,8.28,5.17,0,0,21.72
11.64,25.08,62.12,2.07,39.39,6.79,86.61,0.44,21.43,79.39,59.74,36.14,0.0,29.62,1.54,0.09,41.54,1.32,2.51,6,8,23.98
14.49,37.22,69.0,2.94,43.65,10.37,88.5,0.75,19.93,83.85,70.1,48.02,0.0,41.39,1.39,0.11,40.14,1.23,2.62,4,6,15.19
6.36,18.76,72.44,3.06,45.63,3.26,85.48,0.37,17.9,79.14,63.75,26.59,0.08,22.75,0.86,0.0,43.9,3.47,6.93,6,1,23.41
10.2,25.45,74.79,2.31,40.52,4.97,89.83,0.26,15.73,85.07,77.19,35.61,0.0,32.56,0.78,0.17,49.69,1.48,2.14,5,1,14.12
9.18,18.6,69.43,2.49,34.22,4.69,80.64,0.36,18.18,77.54,66.67,29.63,0.08,26.5,1.8,0.04,42.11,1.16,2.53,1,4,20.57
8.07,22.49,68.87,1.23,41.18,3.58,90.21,0.27,17.59,85.86,68.66,31.35,0.0,27.83,0.59,0.0,50.25,1.18,0.69,1,2,10.84
7.93,25.29,68.71,3.07,33.33,3.24,84.31,0.32,17.69,77.63,65.0,31.82,0.0,27.5,0.65,0.11,40.43,3.29,3.07,5,2,15.21
9.8,19.02,66.77,4.17,44.57,4.56,82.23,0.7,20.32,74.87,62.0,28.57,0.09,22.94,1.76,0.0,49.73,1.64,3.53,4,8,17.13
4.0,15.92,69.32,1.36,38.76,1.18,85.23,0.64,16.51,79.91,84.62,21.06,0.14,18.78,0.96,0.0,40.63,3.0,3.37,7,2,14.55
4.87,11.68,54.72,1.93,49.32,1.2,78.06,0.46,20.03,69.47,61.54,17.47,0.0,14.25,1.01,0.0,47.23,3.49,5.52,1,0,24.91
11.92,30.42,78.95,1.57,30.19,5.75,89.39,0.1,15.0,86.22,87.27,44.01,0.0,41.39,0.31,0.0,37.94,1.88,2.09,1,0,26.45
3.54,10.8,48.72,1.36,36.36,2.45,73.85,0.09,18.24,65.36,48.15,13.88,0.0,11.79,0.18,0.0,40.8,2.81,2.54,3,1,22.68
2.8,12.07,60.53,2.06,42.16,1.25,80.2,0.66,14.33,77.09,70.59,16.7,0.07,14.87,1.03,0.0,43.96,3.9,5.08,6,0,26.79
9.71,19.53,57.14,3.74,47.37,6.57,78.81,1.15,20.93,72.96,65.14,28.09,0.0,23.33,1.75,0.0,48.45,1.63,7.11,4,5,21.4
6.64,16.81,65.79,2.45,38.85,2.79,82.37,0.57,19.15,73.21,65.63,23.8,0.0,19.56,1.22,0.0,42.82,1.48,2.23,1,2,16.72
9.92,27.33,68.42,1.04,64.29,4.87,84.5,0.0,19.66,80.26,67.86,40.56,0.0,34.82,0.0,0.0,52.75,1.04,0.52,0,0,15.84
5.78,18.69,74.16,3.05,50.34,2.6,81.52,0.45,16.51,74.04,80.0,26.99,0.06,22.13,1.23,0.0,47.13,3.18,4.67,0,1,20.37
13.42,36.01,73.68,2.06,52.68,8.53,87.65,0.43,20.55,83.16,73.25,47.09,0.05,40.46,1.14,0.11,53.49,0.65,2.23,2,3,16.35
6.12,18.78,66.35,1.47,33.61,2.47,83.99,0.35,16.4,79.3,64.29,23.6,0.0,20.95,0.94,0.0,43.78,2.35,2.41,3,2,14.66
4.13,14.09,41.18,1.46,26.53,2.19,66.67,0.24,18.14,59.44,44.44,17.37,0.0,14.21,0.36,0.12,39.9,3.28,1.82,2,1,24.05
7.77,19.55,67.55,3.29,39.05,4.17,83.25,0.41,19.37,73.69,56.79,27.58,0.05,21.51,1.13,0.1,43.04,1.44,4.43,3,2,16.26
8.69,28.2,64.86,1.64,40.63,5.87,85.82,0.7,17.09,81.38,64.0,34.07,0.0,31.49,0.7,0.0,43.59,1.64,1.64,0,0,18.33
2.53,11.12,60.0,0.0,20.0,0.0,85.19,0.0,12.59,79.31,0.0,14.66,0.0,13.65,0.0,0.0,28.26,6.07,1.01,0,0,23.26
6.23,17.55,72.73,3.4,35.48,1.7,89.58,1.13,16.44,84.62,100.0,29.43,0.57,27.17,1.13,0.0,40.48,1.7,5.66,0,0,23.77
6.9,18.15,56.16,5.58,44.0,3.21,76.72,0.57,20.48,65.93,50.0,25.53,0.0,17.87,1.7,0.0,43.64,2.17,6.33,1,2,20.8
3.73,13.13,68.97,2.7,34.83,1.42,81.82,0.26,15.03,74.19,63.64,19.96,0.13,17.0,0.64,0.0,33.5,3.73,3.86,4,1,26.52
8.89,21.94,63.08,1.79,37.61,4.99,84.51,0.5,19.38,79.04,63.33,32.12,0.0,27.09,0.87,0.08,47.19,1.95,1.87,2,3,18.49
4.52,13.03,75.0,2.26,32.2,1.44,79.25,0.21,16.21,74.86,85.71,17.96,0.0,16.32,0.41,0.0,42.97,1.74,2.57,2,1,13.14
10.15,15.76,60.42,2.12,34.21,5.61,76.92,0.11,24.65,66.82,45.28,23.58,0.0,17.87,0.11,0.0,51.53,0.32,1.48,0,0,17.24
5.45,14.91,53.19,3.83,46.35,2.32,81.11,1.04,20.57,68.57,65.0,22.34,0.0,15.67,2.15,0.06,48.2,1.97,6.21,2,3,19.38
3.47,14.08,75.51,1.49,32.71,0.99,81.71,0.14,13.75,78.26,85.71,19.53,0.0,18.18,0.5,0.0,34.45,1.06,1.91,2,0,16.84
6.99,19.29,57.0,4.68,46.2,3.0,81.51,1.05,20.82,72.49,46.51,27.18,0.07,20.4,1.47,0.07,48.17,3.63,6.64,5,3,24.81
6.14,21.43,80.28,1.94,44.7,2.51,89.38,0.39,15.05,83.51,81.03,28.3,0.0,25.23,0.65,0.0,41.99,3.11,6.27,8,0,25.62
4.58,16.71,54.05,1.36,42.86,1.98,84.3,0.5,17.3,78.28,43.75,24.51,0.0,21.29,0.62,0.0,48.17,3.09,4.58,3,1,20.3
9.15,27.44,62.5,3.12,36.67,5.09,84.8,0.31,18.88,80.12,65.31,35.54,0.0,30.76,1.25,0.0,40.38,1.56,5.4,3,1,27.54
5.85,13.32,44.44,1.62,36.54,2.92,72.8,0.49,14.97,69.44,44.44,23.39,0.0,20.31,0.49,0.0,48.23,2.44,2.27,0,0,22.91
11.79,25.22,67.69,2.18,47.62,5.08,82.98,0.18,18.15,78.77,78.57,38.47,0.0,34.11,0.54,0.0,48.63,0.73,2.72,0,0,26.49
4.91,6.55,100.0,0.0,100.0,1.64,83.33,0.0,7.23,83.33,100.0,9.82,0.0,9.82,0.0,0.0,33.33,1.64,1.64,0,0,14.73
3.34,14.5,75.0,1.25,39.62,1.98,88.59,0.31,15.22,86.29,84.21,20.54,0.0,19.19,1.04,0.0,41.1,1.67,2.71,1,3,24.61
2.86,10.23,47.37,1.05,14.29,2.56,77.42,0.15,15.02,73.27,58.82,15.2,0.0,14.0,0.3,0.0,30.11,3.16,0.75,1,0,14.0
5.34,16.21,67.92,1.51,36.04,1.41,84.34,0.2,14.63,80.45,35.71,22.15,0.1,19.93,1.01,0.0,40.87,2.92,3.93,2,0,25.37
2.9059000000000013,10.145899999999994,30.817599999999988,0.46239999999999976,28.405999999999995,0.5870999999999998,68.27900000000004,0.019400000000000004,15.02,61.845499999999944,24.558699999999998,13.90090000000001,0.0264,12.133900000000004,0.047299999999999995,0.0,31.18300000000003,0.3487000000000001,0.9370000000000006,0,0,13.345400000000007
4.16,12.48,62.86,1.19,44.74,1.78,77.46,0.36,20.02,71.25,73.33,19.02,0.0,16.88,0.71,0.0,51.16,2.73,2.73,2,2,20.45
2.9671000000000007,10.171499999999991,30.83109999999999,0.4719999999999998,28.7243,0.5841999999999998,68.38510000000004,0.035799999999999985,22.73,62.592499999999944,25.254399999999997,13.92970000000001,0.0264,12.116400000000004,0.06120000000000001,0.0,31.24970000000003,0.3675,0.9495000000000005,0,0,13.209300000000002
2.9008000000000003,10.041799999999993,30.533599999999982,0.39349999999999985,28.176999999999992,0.5577,68.38610000000003,0.018500000000000003,10.88,61.87909999999995,20.039399999999997,13.803000000000013,0.0264,12.126900000000004,0.0407,0.0,31.01220000000003,0.3487000000000001,0.9454000000000007,0,0,13.345400000000007
2.8933000000000004,10.084299999999994,30.533599999999982,0.40399999999999986,28.176999999999992,0.5577,68.38610000000003,0.018500000000000003,11.86,61.87909999999995,20.039399999999997,13.803000000000013,0.0264,12.126900000000004,0.0407,0.0,31.01220000000003,0.3487000000000001,0.9454000000000007,0,0,13.345400000000007
2.9059000000000013,10.145899999999994,30.892999999999986,0.46239999999999976,28.405999999999995,0.5836999999999999,68.50550000000004,0.019400000000000004,14.5,61.85669999999995,21.4756,13.849000000000013,0.0264,12.133900000000004,0.047299999999999995,0.0,31.18300000000003,0.3487000000000001,0.9370000000000006,0,0,13.345400000000007
12.5,17.11,70.24,3.12,40.0,6.4,82.54,0.45,19.56,71.91,67.44,26.48,0.0,18.74,0.6,0.0,57.14,0.3,1.93,0,0,16.66
7.51,17.36,69.05,2.68,30.65,1.07,81.08,0.18,14.59,75.59,33.33,22.72,0.0,19.86,0.54,0.0,39.36,2.68,3.58,1,0,16.82
9.4,21.68,65.31,3.84,46.03,3.65,78.68,0.96,15.28,71.17,68.42,31.28,0.0,26.1,1.15,0.0,43.57,3.26,4.03,0,2,26.87
3.35,16.96,77.78,3.17,42.5,2.42,88.89,0.56,18.36,82.61,76.92,21.43,0.0,18.45,0.56,0.19,42.15,2.24,4.66,0,1,22.55
6.57,26.27,72.55,1.93,45.07,3.86,86.7,0.77,14.87,83.08,80.0,33.48,0.0,30.0,1.8,0.0,48.13,2.45,2.45,0,3,20.6
6.69,24.21,78.0,3.48,38.1,2.81,92.0,0.4,17.26,88.14,85.71,33.83,0.0,30.09,0.53,0.0,48.48,1.87,2.94,0,1,13.24
10.89,21.51,59.42,3.47,42.58,5.0,77.43,0.79,18.44,72.43,55.79,32.24,0.05,27.04,1.21,0.05,44.98,2.89,4.31,2,3,21.99
8.1,20.99,67.21,3.39,29.46,2.66,85.71,0.66,17.77,80.27,67.5,29.96,0.0,26.04,1.06,0.07,37.36,2.19,2.99,3,0,18.13
7.83,21.24,42.86,2.24,61.9,6.15,79.55,0.56,19.98,73.58,63.64,29.63,0.0,24.6,0.56,0.0,50.0,1.68,5.59,0,0,35.78
3.06,14.42,28.57,1.75,45.83,0.44,76.47,0.87,15.74,74.36,100.0,17.04,0.44,14.85,0.87,0.0,44.26,2.62,6.12,1,0,26.65
6.62,18.53,20.0,1.32,42.86,5.29,64.29,0.0,11.13,60.0,25.0,19.85,0.0,18.53,0.0,0.0,44.44,0.0,2.65,0,0,23.82
6.66,23.31,60.53,1.84,36.36,4.12,83.39,0.18,18.3,78.9,70.21,30.32,0.09,26.9,0.26,0.0,47.37,1.14,1.49,1,0,14.99
